Place Name,Latitude,Longiute
Madiwala Bengaluru,12.9201105,77.6206606
Padmanabhanagar Bengaluru,12.9156,77.5568
JP-Nagar Bengaluru,12.9063697,77.5730867
BTM-Layout Bengaluru,12.9166,77.6101
Jayanagar Bengaluru,12.9292731,77.5824229
Kathriguppe Bengaluru,12.9311931,77.5547931
Basavangudi Bengaluru,12.9422105,77.5741507
Hosakerahalli Bengaluru,12.9261463,77.5345254810714
Koramangala Bengaluru,12.9340114,77.6222304
Chamrajpet Bengaluru,12.9569966,77.5633682
Attiguppe Bengaluru,12.9628474,77.5291685
Girinagar Bengaluru,12.9401439,77.5444995
Lakkasandra Bengaluru,12.94097555,77.6031642232039
Deepanjali-Nagar Bengaluru,12.94387765,77.5399251065871
PES-University Bengaluru,12.93377335,77.5346818751573
MG-Road Bengaluru,12.9741854,77.6124135
